AnonID	Query	QueryTime
142	merit release appearance	2006-04-22 23:51:18
217	lottery	2006-03-01 11:58:51
217	lottery	2006-03-27 14:10:38
217	vietnam	2006-05-22 17:43:42
217	vietnam	2006-05-22 18:03:24
1268	gall stones	2006-05-11 02:12:51
1268	gallstones	2006-05-11 02:13:02
1326	files	2006-03-01 17:36:08
1326	pop up adds	2006-03-15 20:07:38
1326	pop up adds	2006-03-15 20:08:29
1326	the childs wonderland company	2006-03-21 11:50:10
1326	the child's wonderland company	2006-03-21 11:59:03
1326	the child's wonderland company	2006-03-21 12:00:55
1326	the child's wonderland company grand rapids michigan	2006-03-21 12:01:24
1326	budget truck rental	2006-03-24 18:27:07
1326	holiday mansion houseboat	2006-03-29 17:14:01
1326	back to the future	2006-04-01 17:59:28
1326	holiday mansion houseboat	2006-04-06 20:20:43
1326	the childs wonderland company	2006-04-11 17:25:27
1326	jet blue airlines	2006-04-27 15:29:05
1337	select business services	2006-03-14 15:51:41
1337	select business services title	2006-03-14 15:52:10
1337	cbc companies	2006-03-14 15:52:44
1337	national real estate settlement services	2006-03-14 15:59:13
1337	pennsylvania real estate settlement services	2006-03-14 16:04:40
1337	pennsylvania real estate settlement services	2006-03-14 16:05:11
1337	chesapeake appraisal and settlement services	2006-03-15 13:51:52
1337	first american lenders advantage	2006-03-22 16:05:56
1337	first american chesapeake	2006-03-22 16:11:31
1337	first american chesapeake title services	2006-03-22 16:11:50
1337	united one resources	2006-03-22 17:47:11
1337	credit plus solutions group	2006-03-22 17:52:53
1337	security search and abstract	2006-03-22 17:56:19
1337	integrated real estate	2006-03-27 14:52:29
1337	integrated loan services	2006-03-29 17:12:27
1337	kentucky fried chicken	2006-04-25 16:07:14
1337	ford	2006-04-26 09:22:34
1410	target bowling green state university rug black orange rectangle	2006-04-13 17:41:26
1410	google	2006-05-01 21:40:54
2005	google	2006-03-24 21:25:10
2005	weather	2006-05-08 01:27:49
2178	zip codes	2006-03-02 04:49:45
2178	dana reeves dies	2006-03-07 22:15:42
2178	harry	2006-03-09 08:38:45
2178	harry and david	2006-03-09 08:39:33
2178	college savings plan	2006-03-16 09:40:04
2178	pennsylvania college savings plan	2006-03-16 10:04:14
2178	torn cornea treatment	2006-03-27 20:34:56
2178	dog torn cornea treatment	2006-03-27 20:37:21
2178	google	2006-03-27 20:58:44
2178	people search	2006-04-05 19:56:57
2178	bare minerals make up	2006-04-07 15:36:02
2178	pergola	2006-04-08 18:44:00
2178	pergola house entrance	2006-04-08 18:50:28
2178	pergola	2006-04-08 18:52:55
2178	google	2006-04-11 11:06:20
2178	philadelphia rocky statue	2006-04-19 22:12:42
2178	philadelphia art museum	2006-04-19 22:15:23
2178	philadelphia independence mall	2006-04-19 22:18:19
2178	lily pads breast	2006-04-29 14:52:29
2178	once upon a child	2006-05-09 09:55:46
2178	scott honda	2006-05-09 13:56:50
2178	foods to avoid when pregnant	2006-05-09 19:32:42
2178	foods to avoid when breast feeding	2006-05-09 19:36:44
2178	infant innoculation safety	2006-05-09 19:41:32
2178	hepatitis b vaccine safety infants	2006-05-09 19:43:37
2178	sears	2006-05-12 12:44:22
2178	target	2006-05-12 17:05:36
2178	google	2006-05-16 10:54:39
2178	fit pregnancy	2006-05-16 15:34:23
2178	baby names	2006-05-20 15:02:38
2178	mortgage calculator	2006-05-24 14:39:05
2178	us zip codes	2006-05-25 21:26:47
2178	inducing dog vomiting	2006-05-26 08:42:31
2178	dog eats uncooked pasta	2006-05-26 15:31:56
2178	inducing dog vomiting	2006-05-26 15:32:46
2334	peru illinois cinema	2006-03-16 21:11:38
2334	spring valley girls softball	2006-03-30 18:53:57
2334	new mexico	2006-05-03 16:42:27
2334	the tarantula hawk wasp	2006-05-12 16:32:30
2334	peru illinois cinema	2006-05-25 19:25:45
2334	peru illinois cinema	2006-05-25 19:26:50
2334	peru illinois cinema	2006-05-25 19:27:08
2334	peru illinois cinema schedule	2006-05-25 19:27:24
2421	cliff notes	2006-03-06 16:25:56
2421	the war of the worlds cliff notes	2006-03-06 16:26:27
2421	poker	2006-03-14 21:44:15
2421	google	2006-05-04 15:39:25
2421	counterstrike	2006-05-04 16:01:08
2421	counter strike	2006-05-04 16:01:12
2421	google	2006-05-04 21:14:33
2421	google	2006-05-05 16:16:01
2421	hernias	2006-05-05 16:52:33
2421	hernias	2006-05-05 16:54:16
2421	hernia doctors	2006-05-05 17:03:15
2421	people search	2006-05-05 20:10:51
2421	spit ball with straw	2006-05-16 21:42:52
2421	spitball with straw	2006-05-16 21:59:07
2421	spit ball with straw	2006-05-16 21:59:31
2722	charles drew	2006-03-01 17:35:12
2722	national car rental	2006-03-09 11:24:29
2722	military	2006-03-10 09:32:03
2722	military rental benefits	2006-03-10 09:32:38
2722	military car rental benefits	2006-03-10 09:33:37
2722	sprint phones	2006-03-19 21:13:20
2722	georgia state	2006-03-20 15:20:30
2722	georgia perimeter	2006-03-20 15:27:22
2722	routing number for bank of america military bank	2006-03-20 23:38:14
2722	georgia state university	2006-03-20 23:43:22
2722	georgia guardianship laws	2006-03-22 12:59:46
2722	georgia guardianship laws conservator	2006-03-22 13:12:25
2722	georgia veterans	2006-03-22 13:36:26
2722	georgia state	2006-03-22 13:52:17
2722	understanding fractions	2006-03-22 16:01:12
2722	fractions	2006-03-22 16:12:19
2722	linen n things	2006-03-23 11:58:35
2722	bed bath beyond	2006-03-23 12:02:02
2722	home depot	2006-03-23 12:11:05
2722	wardrobe	2006-03-23 12:14:10
2722	wardrobe storage	2006-03-23 12:14:36
2722	target	2006-03-23 12:27:54
2722	lost	2006-03-30 13:59:59
2722	preteen birthday party	2006-04-05 00:10:08
2722	preteen party	2006-04-05 00:22:23
2722	science trek	2006-04-05 01:34:41
2722	birthday party	2006-04-05 01:55:15
2722	fandango	2006-04-05 18:49:54
2722	baby shower ideas	2006-04-05 18:55:49
2722	enterprise rent a car	2006-04-05 23:37:42
2722	avis	2006-04-05 23:41:09
2722	avis	2006-04-05 23:51:13
2722	enterprise	2006-04-05 23:52:09
2722	avis	2006-04-06 00:07:48
2722	enterprise	2006-04-06 07:11:08
2722	party city	2006-04-10 12:34:13
2722	georgia force	2006-04-12 09:47:55
2722	progressive	2006-04-12 12:16:29
2722	patina	2006-04-12 12:18:16
2722	ingles	2006-04-12 12:47:47
2722	ingles grocery	2006-04-12 12:48:12
2722	birthday cakes	2006-04-12 13:02:35
2722	butterfly birthday cakes	2006-04-12 13:18:43
2722	kids cake designs	2006-04-12 13:38:26
2722	butterfly party	2006-04-12 13:39:34
